#,Area / Page,Customer feedback (verbatim),What was there before,What to look for now,Page(s) to proof,Status
1,Home — hero image,I'd remove the kiln image as it doesn't reflect the majority of our technology. We should use more authentic project/site photography alongside renders.,Full-bleed hero was the kiln image (v2-hero.webp) — a robotic arm inside a refractory-lined kiln.,Hero now uses authentic robotic-demolition site photography (crew on an industrial site). Kiln image removed. NOTE: still a stock/placeholder-grade shot — a bespoke Leonard project photo is the ideal.,index.html,Done — bespoke photo still ideal (assets)
2,Home / Careers — new page,Where will Careers live? (can we add a careers page?),No Careers page existed; footer 'Information' column had no Careers link.,"New /careers.html: 'Join the team' header, 'Why Leonard' cards, current-opportunities section with an apply-by-email link. Linked from footer (Information column) and the mobile menu.","careers.html, partials/footer.html, partials/header.html",Done
3,Industry & Product pages — imagery,"Where possible, showcase case study photography/video rather than always customer quotes. More authentic, on-site product imagery would strengthen these pages.",Industry/product pages leaned on testimonial quote cards; renders and stock imagery only.,"Structure supports video now (see #9). Swapping quote blocks for case-study photo/video and adding authentic on-site imagery needs real photo/video assets from you — flagged, not yet actioned.","industries.html, industry*.html, products.html, product*.html",Needs real photo/video assets
4,Industries — taxonomy,"Remove Lime. Focus on Cement and Metal Processing, with Aluminium and Steel covered within content. Add an 'Other Industries' category to cover Petrochemical, Pulp & Paper and Glass.","Five rows: Cement & Lime, Aluminium, Waste-to-Energy, Power Generation (+ Home-safe band).","Four sectors now: Cement (#cement), Metal Processing (#metal-processing, aluminium & steel in the copy), Energy (#energy, combines waste-to-energy + power generation), and Other Industries (#other-industries: petrochemical, pulp & paper, glass). 'Lime' removed everywhere. Header mega-menu + search page updated to match.","industries.html, partials/header.html, search-results.html, industry.html, industry-aluminium.html, industry-power-generation.html",Done — confirm wording
5,Services — Site Surveys + solution-led,"We should include Site Surveys and make clearer that these often create significant value and are the starting point for wider engagements. More broadly, our service offering should feel solution-led rather than focused only on specific activities.",Hero 'Specialist services. Proven results.'; statement listed activities; four service rows (no surveys).,"New 'Site surveys' row at the top ('Where every engagement starts' — creates value, defines the wider engagement). Hero now 'Solutions, not just services.' and the statement is solution-led ('engineered around your challenge, not to sell a fixed activity').",services.html,Done
6,Collaboration model,We should explain more clearly that we're sometimes the principal contractor and sometimes work in partnership with specialist providers. This is a common question from both contractors and end users.,Nothing on the site explained the engagement model.,"New 'How we work' section on Services: 'Principal contractor, or trusted partner' with two cards — As principal contractor / In partnership.",services.html,Done
7,Products & Solutions — messaging,The messaging should reinforce that we're not selling off-the-shelf products; we're delivering tailored solutions to specific customer challenges.,Products statement band described the product range generically.,Statement band now leads: 'We don't sell off-the-shelf products — we engineer tailored solutions to your specific challenges.',products.html,Done
8,Case Studies,"Strong layout with a good content flow, clear sector/product positioning, and good use of imagery/video components. The overview page and testimonial callouts work particularly well.",(Positive feedback — no change requested.),No change. Left as-is.,"case-studies.html, case-study.html",No change needed
9,News & Events,Feels like an Events element is missing. We need somewhere to promote upcoming events and capture campaign/event leads. Also want to ensure news pages support video as well as imagery.,"Page was 'Latest News': hero + article grid + newsletter. No events, no video support.","Renamed to 'News & Events' (nav, footer, page title, hero). New 'Upcoming events' section: three event rows with Register-interest buttons + an email lead-capture form ('Register your interest'). Video support added: a 'Video' card with a play badge on the grid, and article prose now renders responsive video/iframe embeds (worked example on article.html). Event dates are placeholders.","news.html, article.html, partials/header.html, partials/footer.html",Done — confirm event details
10,Contact — form,"The form looks good, although I noticed some green colouring in the background that may be worth checking. We should consider enquiry categorisation (Sales, Finance, HR/Recruitment, Supplier, General Enquiry) and potentially capture regional/country information for CRM purposes.",Form on the dark page had fully transparent fields (the page's dark-green showed through); no enquiry-type or country fields.,"Green check: form fields now have a subtle dark fill so they read as fields, not green washes. Added an 'Enquiry type' select (Sales / Finance / HR-Recruitment / Supplier / General enquiry) and a 'Country / region' field for CRM.","contact.html, scss/_custom.scss",Done
11,Contact — details / presence,"We should plan on a single generic email address rather than team-specific inboxes. We also don't want to display either our registered accountant's address or current office address. A Google Map may not be appropriate initially, but we do need to communicate our UK, NI and global presence.",Direct-lines block showed projects@leonard.com + the Cookstown HQ street address; 'Where we work' listed three offices with street addresses (Cookstown/Dallas/Singapore) plus a map image.,Single generic email office@leonard.co.uk sitewide. All street addresses removed. Map removed. 'Where we work' rebuilt as a presence block — United Kingdom / Northern Ireland / Global — with no addresses.,contact.html (+ office@ applied sitewide),Done
12,Footer — YouTube + MSHA,Add YouTube and MSHA certification.,Footer contact column had LinkedIn only; certification strip had Avetta + ISO 9001/14001.,YouTube link added next to LinkedIn (footer + mobile menu). 'MSHA Certified' badge added to the certification strip. NOTE: MSHA is a text badge — swap for the official MSHA mark when supplied.,"partials/footer.html, partials/header.html",Done — MSHA official mark needed (assets)
13,Nav — Latest News rename,(Implied by #9 — News & Events.),"Desktop nav, mobile menu and footer said 'Latest News' / 'News'.",All now read 'News & Events' and point to /news.html.,"partials/header.html, partials/footer.html",Done
14,Housekeeping — orphan page,(Not from feedback — a consequence of the Industries restructure.),industry-waste-to-energy.html was linked as its own industry.,"Energy now covers waste-to-energy + power generation, so that detail page is no longer linked from the listing (industry-power-generation.html serves Energy). The file still builds but is orphaned; also industry-aluminium.html now contains 'Metal Processing' content (filename left unchanged). Decide whether to rename/retire these.","industry-waste-to-energy.html, industry-aluminium.html",Needs client decision
